move 0 0 agentA1
add 19 12 dispenser b1
terrain 0 1 obstacle
terrain 1 1 obstacle
terrain 2 1 obstacle
terrain 3 1 obstacle
terrain 4 1 obstacle
terrain 5 1 obstacle
terrain 6 1 obstacle
terrain 7 1 obstacle
terrain 8 1 obstacle
terrain 9 1 obstacle
terrain 10 1 obstacle
terrain 11 1 obstacle
terrain 12 1 obstacle
terrain 13 1 obstacle
terrain 14 1 obstacle
terrain 15 1 obstacle
terrain 16 1 obstacle
terrain 17 1 obstacle
terrain 18 1 obstacle
terrain 19 1 obstacle
terrain 20 1 obstacle
terrain 21 1 obstacle
terrain 22 1 obstacle
terrain 23 1 obstacle
terrain 24 1 obstacle
terrain 25 1 obstacle
terrain 26 1 obstacle
terrain 27 1 obstacle
terrain 28 1 obstacle
terrain 29 1 obstacle
terrain 0 2 obstacle
terrain 1 2 obstacle
terrain 0 3 obstacle
terrain 4 3 obstacle
terrain 5 3 obstacle
terrain 6 3 obstacle
terrain 7 3 obstacle
terrain 8 3 obstacle
terrain 9 3 obstacle
terrain 10 3 obstacle
terrain 11 3 obstacle
terrain 12 3 obstacle
terrain 13 3 obstacle
terrain 14 3 obstacle
terrain 15 3 obstacle
terrain 16 3 obstacle
terrain 17 3 obstacle
terrain 18 3 obstacle
terrain 19 3 obstacle
terrain 20 3 obstacle
terrain 21 3 obstacle
terrain 22 3 obstacle
terrain 23 3 obstacle
terrain 24 3 obstacle
terrain 25 3 obstacle
terrain 26 3 obstacle
terrain 27 3 obstacle
terrain 28 3 obstacle
terrain 29 3 obstacle
terrain 0 4 obstacle
terrain 2 4 obstacle
terrain 3 4 obstacle
terrain 4 4 obstacle
terrain 5 4 obstacle
terrain 28 4 obstacle
terrain 29 4 obstacle
terrain 0 5 obstacle
terrain 2 5 obstacle
terrain 3 5 obstacle
terrain 4 5 obstacle
terrain 5 5 obstacle
terrain 7 5 obstacle
terrain 8 5 obstacle
terrain 9 5 obstacle
terrain 10 5 obstacle
terrain 11 5 obstacle
terrain 12 5 obstacle
terrain 13 5 obstacle
terrain 14 5 obstacle
terrain 15 5 obstacle
terrain 16 5 obstacle
terrain 17 5 obstacle
terrain 18 5 obstacle
terrain 19 5 obstacle
terrain 20 5 obstacle
terrain 21 5 obstacle
terrain 22 5 obstacle
terrain 23 5 obstacle
terrain 24 5 obstacle
terrain 25 5 obstacle
terrain 26 5 obstacle
terrain 28 5 obstacle
terrain 29 5 obstacle
terrain 0 6 obstacle
terrain 2 6 obstacle
terrain 3 6 obstacle
terrain 4 6 obstacle
terrain 5 6 obstacle
terrain 7 6 obstacle
terrain 8 6 obstacle
terrain 25 6 obstacle
terrain 26 6 obstacle
terrain 28 6 obstacle
terrain 29 6 obstacle
terrain 0 7 obstacle
terrain 2 7 obstacle
terrain 3 7 obstacle
terrain 4 7 obstacle
terrain 5 7 obstacle
terrain 7 7 obstacle
terrain 8 7 obstacle
terrain 10 7 obstacle
terrain 11 7 obstacle
terrain 12 7 obstacle
terrain 13 7 obstacle
terrain 14 7 obstacle
terrain 15 7 obstacle
terrain 16 7 obstacle
terrain 17 7 obstacle
terrain 18 7 obstacle
terrain 19 7 obstacle
terrain 20 7 obstacle
terrain 21 7 obstacle
